#{"t_start": 1588858822.4834797, "env_id": null}
r,l,t
-4.027778,1,3.984727
-3.972222,1,3.985719
-3.972222,1,3.991703
-4.027778,1,3.992701
-4.027778,1,3.994695
-3.972222,1,3.995693
-3.972222,1,3.997687
-3.972222,1,4.002674
-4.027778,1,4.00467
-3.972222,1,4.006663
-4.027778,1,4.007661
-4.027778,1,4.009655
-4.027778,1,4.014642
-3.972222,1,4.015663
-3.972222,1,4.017635
-4.027778,1,4.019631
-3.972222,1,4.020626
-4.027778,1,4.02661
-3.972222,1,4.027635
-4.027778,1,4.029602
-4.027778,1,4.031596
-4.027778,1,4.032594
-4.027778,1,4.03758
-3.972222,1,4.039582
-4.027778,1,4.04157
-3.972222,1,4.04257
-3.972222,1,4.044571
-4.027778,1,4.049548
-4.027778,1,4.051556
-4.027778,1,4.053539
-4.027778,1,4.054535
-3.972222,1,4.05653
-4.027778,1,4.061516
-3.972222,1,4.063511
-4.027778,1,4.064509
-3.972222,1,4.066504
-3.972222,1,4.068504
-3.972222,1,4.073484
-4.027778,1,4.074514
-3.972222,1,4.076477
-3.972222,1,4.078471
-4.027778,1,4.079498
-3.972222,1,4.084456
-4.027778,1,4.086451
-3.972222,1,4.087475
-4.027778,1,4.089442
-4.027778,1,4.091437
-4.027778,1,4.096423
-3.972222,1,4.098419
-4.027778,1,4.099425
-3.972222,1,4.101423
-3.972222,1,4.103405
-4.027778,1,4.108397
-3.972222,1,4.110385
-4.027778,1,4.112395
-4.027778,1,4.113379
-4.027778,1,4.115373
-3.972222,1,4.150223
-4.027778,1,4.152217
-4.027778,1,4.154213
-4.027778,1,4.155211
-4.027778,1,4.157204
-4.027778,1,4.162191
-3.972222,1,4.164186
-4.027778,1,4.165184
-3.972222,1,4.167177
-4.027778,1,4.169173
-3.972222,1,4.17416
-4.027778,1,4.176154
-4.027778,1,4.177152
-4.027778,1,4.179145
-4.027778,1,4.180144
-4.027778,1,4.185129
-3.972222,1,4.187124
-3.972222,1,4.188121
-3.972222,1,4.190116
-4.027778,1,4.19212
-3.972222,1,4.197097
-4.027778,1,4.199107
-4.027778,1,4.200091
-4.027778,1,4.202084
-4.027778,1,4.203084
-3.972222,1,4.209067
-4.027778,1,4.210063
-4.027778,1,4.212059
-4.027778,1,4.214052
-4.027778,1,4.215051
-4.027778,1,4.221033
-4.027778,1,4.223029
-3.972222,1,4.225023
-3.972222,1,4.227021
-3.972222,1,4.229017
-4.027778,1,4.234996
-3.972222,1,4.237988
-3.972222,1,4.239983
-4.027778,1,4.241978
-3.972222,1,4.243972
-4.027778,1,4.248987
-4.027778,1,4.25097
-4.027778,1,4.252949
-4.027778,1,4.25395
-3.972222,1,4.25594
-3.972222,1,4.260927
-3.972222,1,4.262921
-3.972222,1,4.263921
-4.027778,1,4.265913
-4.027778,1,4.266912
-3.972222,1,4.271902
-4.027778,1,4.273892
-4.027778,1,4.274894
-4.027778,1,4.276885
-4.027778,1,4.277881
-3.972222,1,4.282868
-4.027778,1,4.284863
-4.027778,1,4.286858
-3.972222,1,4.287855
-3.972222,1,4.28985
